,State,Substate Region,12-17 Estimate,18-25 Estimate,18 or Older Estimate,26 or Older Estimate
405,Texas,Region 8,5.13%,8.90%,4.44%,3.62%
406,Texas,Region 9,5.37%,8.51%,4.28%,3.46%
407,Texas,Region 10,5.15%,7.17%,3.94%,3.25%
408,Texas,Region 11,4.96%,7.09%,3.88%,3.21%
409,Texas,Region 11abd,4.85%,7.46%,3.92%,3.20%
410,Texas,Region 11c (Hidalgo),5.14%,6.48%,3.81%,3.21%
411,Utah,Utah,4.15%,7.65%,4.05%,3.22%
412,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",3.98%,7.65%,3.90%,3.03%
413,Utah,"Central, Four Corners, San Juan, and Southwest",4.16%,8.54%,4.00%,3.05%
414,Utah,Davis County,4.20%,8.17%,4.01%,3.16%
415,Utah,Salt Lake County,4.18%,7.30%,3.85%,3.17%
416,Utah,Utah County,4.16%,7.37%,4.42%,3.40%
417,Utah,"Weber, Morgan",4.19%,8.08%,4.46%,3.73%
418,Vermont,Vermont,4.05%,8.69%,3.44%,2.53%
419,Vermont,Champlain Valley,4.22%,8.60%,3.61%,2.53%
420,Vermont,Rural Northeast,4.05%,8.72%,3.32%,2.50%
421,Vermont,Rural Southeast,3.76%,8.54%,3.28%,2.60%
422,Vermont,Rural Southwest,3.99%,9.09%,3.37%,2.47%
423,Virginia,Virginia,4.89%,9.82%,4.59%,3.70%
424,Virginia,Region 1,4.76%,10.88%,5.11%,4.04%
425,Virginia,Region 2,4.06%,9.06%,4.29%,3.63%
426,Virginia,Region 3,5.10%,10.46%,4.42%,3.38%
427,Virginia,Region 4,5.22%,10.69%,4.95%,3.96%
428,Virginia,Region 5,5.70%,8.76%,4.45%,3.61%
429,Washington,Washington,5.40%,8.71%,4.61%,3.94%
430,Washington,Region 1,5.23%,8.36%,4.50%,3.75%
431,Washington,Greater Columbia and North Central,5.30%,7.83%,4.40%,3.68%
432,Washington,Spokane,5.12%,9.25%,4.64%,3.83%
433,Washington,Region 2,5.53%,8.68%,4.68%,4.07%
434,Washington,King,5.91%,8.34%,4.56%,4.01%
435,Washington,North Sound,4.95%,9.23%,4.89%,4.18%
436,Washington,Region 3,5.35%,9.03%,4.59%,3.89%
437,Washington,Peninsula,*,*,4.58%,3.84%
438,Washington,Pierce,5.69%,8.70%,4.66%,3.96%
439,Washington,SW WA and Timberlands,5.04%,9.20%,4.55%,3.86%
440,Washington,Thurston-Mason,*,*,4.51%,*
441,West Virginia,West Virginia,4.13%,9.05%,3.87%,3.09%
442,West Virginia,Region I,4.27%,9.01%,3.65%,2.89%
443,West Virginia,Region II,4.20%,8.96%,3.93%,3.20%
444,West Virginia,Region III,4.30%,9.76%,3.77%,3.01%
445,West Virginia,Region IV,3.97%,9.23%,4.28%,3.24%
446,West Virginia,Region V,4.08%,8.76%,3.69%,2.99%
447,West Virginia,Region VI,4.16%,8.92%,3.78%,3.11%
448,Wisconsin,Wisconsin,5.43%,9.03%,4.27%,3.48%
449,Wisconsin,Milwaukee,5.53%,8.65%,4.97%,4.23%
450,Wisconsin,Northeastern,4.98%,9.08%,3.98%,3.22%
451,Wisconsin,Northern,5.27%,8.80%,3.94%,3.24%
452,Wisconsin,Southeastern,5.72%,8.86%,4.20%,3.50%
453,Wisconsin,Southern,5.76%,9.07%,4.15%,3.31%
454,Wisconsin,Western,5.16%,9.73%,4.36%,3.38%
455,Wyoming,Wyoming,4.26%,7.63%,3.51%,2.80%
456,Wyoming,Judicial District 1 (Laramie),4.08%,7.29%,3.25%,2.59%
457,Wyoming,Judicial District 2,4.06%,7.51%,4.55%,3.39%
458,Wyoming,Judicial District 3,4.13%,7.17%,3.29%,2.67%
459,Wyoming,Judicial District 4,4.49%,7.96%,3.28%,2.67%
460,Wyoming,Judicial District 5,4.53%,7.46%,3.13%,2.53%
461,Wyoming,Judicial District 6,4.44%,8.13%,3.65%,2.90%
462,Wyoming,Judicial District 7 (Natrona),4.45%,8.43%,3.82%,3.07%
463,Wyoming,Judicial District 8,4.17%,7.75%,3.29%,2.65%
464,Wyoming,Judicial District 9,4.13%,7.38%,3.35%,2.82%
